"Codigo","Nombre","Modelo","Descripcion","Pcosto","Pventa","PMayor","Pordes","Porpro","Grupo","Familia","Marca","Feuling","Feulve","Observaciones","Status","Exiact","Id","Propietario","Minimo","Idereg","Costor","Invini","Proveedor","Ultmov","Bodega","Nombod","Ventas","Compras","Apos","Aneg"
ALP113,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 1410,"1.60*1.15",MECHITAS ROJAS,125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,267,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2012-03-20 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,
ALP114,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY SPD-001,"1.60*1.15","ABANA,TERRACOTA Y CHOCOLATE",125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,269,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2011-08-01 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP115,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 142,"1.60*1.15",CAFE OSCURA PURA,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,271,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2014-03-01 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP116,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 165,"1.60*1.15",CHOCOLATE CON CAFE,125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,273,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2012-03-20 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,
ALP117,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 143,"1.60*1.15",TERRACOTA,125.0,280.0,0.0,,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,2012-06-14 00:00:00.000,,"",A,1.0,275,ANGELA LARREA,0.0,1,125.0,2.0,CABRERA PATI�O,2012-06-14 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,
ALP118,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY R1,"1.60*1.15",NARANJA CON MARRON,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,277,ANGELA LARREA,0.0,1,125.0,1.0,CABRERA PATI�O,2014-06-18 00:00:00.000,1,D ROSIE,2.0,1.0,0.0,0.0
ALP119,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY C-1,"1.60*1.15",TOMATE CON MELON CLARO,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,2012-06-14 00:00:00.000,2012-06-06 00:00:00.000,"",A,1.0,279,ANGELA LARREA,0.0,1,125.0,2.0,CABRERA PATI�O,2012-06-14 00:00:00.000,1,D ROSIE,2.0,1.0,0.0,0.0
ALP120,ALFOMBRA ANTIALERGICA CARPERTS LUXURY SHAGGY1409,"1.60*1.15",MECHITAS  AMARILLA CON NEGRO,125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,281,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2011-09-28 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP121,ALFOMBRA ANTIALERGICA  VISCOSE SHAGGY 151,"1.60*1.15",ROJA PURA,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,283,ANGELA LARREA,0.0,1,125.0,2.0,CABRERA PATI�O ANGEL EDUARDO,2013-04-27 00:00:00.000,2,INNOVARTE,3.0,1.0,0.0,0.0
ALP122,ALFOMBRA  ANTIALERGICA VISCOSE  SHAGGY S/C,"1.60*1.15",ROJA PURA,125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,285,ANGELA LARREA,0.0,1,125.0,1.0,CABRERA PATI�O ANGEL EDUARDO,2012-01-11 00:00:00.000,2,INNOVARTE,2.0,1.0,0.0,0.0
