"Codigo","Nombre","Modelo","Descripcion","Pcosto","Pventa","PMayor","Pordes","Porpro","Grupo","Familia","Marca","Feuling","Feulve","Observaciones","Status","Exiact","Id","Propietario","Minimo","Idereg","Costor","Invini","Proveedor","Ultmov","Bodega","Nombod","Ventas","Compras","Apos","Aneg"
DMP332,N1121 INDIVID DOR 1223-15,"","",1.82,2.5,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,ALMACEN OFERTA,2012-11-16 00:00:00.000,,"",A,16.0,2488,ANGELA LARREA,0.0,1,1.82,0.0,ALMACEN MA/OFERTA,2012-11-16 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP333,N1123  CAMINO M DOR 32*B 1223-38,"","",6.62,12.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,ALMACEN OFERTA,2012-11-16 00:00:00.000,,"",A,1.0,2490,ANGELA LARREA,0.0,1,6.62,0.0,ALMACEN MA/OFERTA,2012-11-16 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP334,N1124 CAMINO M PLAT 32*B 1223-41,"","",6.62,12.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,ALMACEN OFERTA,2012-11-16 00:00:00.000,,"",A,1.0,2492,ANGELA LARREA,0.0,1,6.62,0.0,ALMACEN MA/OFERTA,2012-11-16 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP335,N1219  BOLA ROSADA 4*B 1230-1268,"","",17.57,25.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,ALMACEN OFERTA,2012-11-16 00:00:00.000,,"",A,3.0,2494,ANGELA LARREA,0.0,1,17.57,0.0,ALMACEN MA/OFERTA,2012-11-16 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP336,OFE28-00 OFERTA EDREDONES,"","",25.0,50.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,ALMACEN OFERTA,,,"",A,4.0,2496,ANGELA LARREA,0.0,1,25.0,0.0,ALMACEN MA/OFERTA,2012-11-16 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP337,P7704 LAMPARA 8*B 441-843725/1,"","",13.08,30.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,ALMACEN OFERTA,2012-11-16 00:00:00.000,,"",A,4.0,2498,ANGELA LARREA,0.0,1,13.08,0.0,ALMACEN MA/OFERTA,2012-11-16 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP338,P8667 CAND 4*B 525-0018,"","",24.61,55.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,ALMACEN OFERTA,2012-11-16 00:00:00.000,,"",A,5.0,2500,ANGELA LARREA,0.0,1,24.61,0.0,ALMACEN MA/OFERTA,2012-11-16 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP339,P8672 CAND 6*B 525-0017,"","",21.53,50.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,ALMACEN OFERTA,2012-11-16 00:00:00.000,,"",A,5.0,2502,ANGELA LARREA,0.0,1,21.53,0.0,ALMACEN MA/OFERTA,2012-11-16 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP340,P8678 ADORNO 6*B 102-006,"","",33.08,60.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,ALMACEN OFERTA,2012-11-16 00:00:00.000,2012-11-27 00:00:00.000,"",A,0.0,2505,ANGELA LARREA,0.0,1,33.08,0.0,ALMACEN MA/OFERTA,2012-11-27 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
DMP341,C-13290-ORO2 FLORERO NARANJA  DE VIDRIO 021204,"","",54.0,85.0,0.0,0.0,0.0,DECORACION  MODERNA PROVEEDORES ,DECORACION ,PROMOCIONES,2012-11-14 00:00:00.000,,"",A,1.0,2507,ANGELA LARREA,0.0,1,54.0,0.0,ALMACEN PROMOCIONES,2012-11-14 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
