"Fechfa","Costo","Venta","Total","mes","aaaa","Descu","Contro","Codart","Nommarca"
2010-01-06 00:00:00.000,51.04,81.92,50.790400000000005,1,2010,31.1296,"210","2101-3401035",
2010-01-06 00:00:00.000,23.12,36.42,22.5804,1,2010,13.8396,"210","2101-1702024",
2010-01-06 00:00:00.000,58.800000000000004,92.13,57.120599999999996,1,2010,35.0094,"210","2101-1602610",
2010-01-06 00:00:00.000,23.7,37.13,23.0206,1,2010,14.1094,"210","2101-3505008",
2010-01-06 00:00:00.000,28.16,43.84,27.1808,1,2010,16.659200000000002,"210","2101-1602510",
2010-01-06 00:00:00.000,3.44,6.2,3.844,1,2010,2.3560000000000003,TKS,TKS-025,
2010-01-06 00:00:00.000,4.06,6.76,4.1912,1,2010,2.5688,TKS,TKS-007,
2010-01-06 00:00:00.000,8.12,13.52,8.3824,1,2010,5.1376,TKS,TKS-007,
2010-01-06 00:00:00.000,9.64,16.4,10.168,1,2010,6.231999999999999,TKS,TKS-014,
2010-01-06 00:00:00.000,11.4,20.52,12.7224,1,2010,7.7976,TKS,TKS-023,
2010-01-06 00:00:00.000,1.64,2.98,1.8476,1,2010,1.1324,TKS,TKS-026,
2010-01-06 00:00:00.000,2.32,3.98,2.4676,1,2010,1.5124,"210","2101-1009146",
2010-01-06 00:00:00.000,31.36,49.32,30.5784,1,2010,18.741600000000002,"210","2101-1701164",
2010-01-06 00:00:00.000,20.12,35.84,22.220800000000004,1,2010,13.619200000000001,LD-,LD-003,
2010-01-06 00:00:00.000,7.92,11.4,7.0680000000000005,1,2010,4.332,"210","2103-3726450",
2010-01-06 00:00:00.000,17.76,30.16,18.699199999999998,1,2010,11.4608,"210","2103-5205070-01",
2010-01-06 00:00:00.000,12.28,20.86,12.9332,1,2010,7.9268,"210","2101-6104020-01",
2010-01-06 00:00:00.000,30.8,48.9,30.317999999999998,1,2010,18.582,"210","2101-3506060-01",
2010-01-06 00:00:00.000,6.24,10.0,6.2,1,2010,3.8,"210","2106-8212200-20",
2010-01-06 00:00:00.000,17.94,28.1,17.422,1,2010,10.678,"210","2101-3501070",
2010-01-06 00:00:00.000,8.52,15.96,9.8952,1,2010,6.0648,GUN,GUN-026,
2010-01-06 00:00:00.000,43.8,73.02,45.2724,1,2010,27.7476,"210","2101-2202025",
2010-01-06 00:00:00.000,23.7,37.13,23.0206,1,2010,14.1094,"210","2101-3505008",
2010-01-06 00:00:00.000,22.42,48.0,29.759999999999998,1,2010,18.240000000000002,BAI,BAI-031,
2010-01-06 00:00:00.000,5.7,10.0,6.2,1,2010,3.8,TKS,TKS-008,
2010-01-06 00:00:00.000,14.52,23.64,13.002,1,2010,10.638,HY-,HY-098,
2010-01-06 00:00:00.000,10.38,34.0,21.08,1,2010,12.92,"210","2101-1007034-99",
2010-01-06 00:00:00.000,51.54,82.46,51.12519999999999,1,2010,31.334799999999998,"210","2101-3401035-20",
2010-01-06 00:00:00.000,9.42,15.06,9.3372,1,2010,5.7228,"210","210731304010",
2010-01-06 00:00:00.000,29.52,70.0,43.4,1,2010,26.6,CDI,CDI-009,
2010-01-06 00:00:00.000,25.3,60.0,37.2,1,2010,22.8,CDI,CDI-003,
2010-01-06 00:00:00.000,35.76,66.24,41.068799999999996,1,2010,25.1712,BAI,BAI-005,
2010-01-06 00:00:00.000,16.76,30.12,20.1804,1,2010,9.9396,PFI,PFI-018,
2010-01-06 00:00:00.000,36.24,61.67999999999999,33.92399999999999,1,2010,27.755999999999997,HY-,HY-195,
